"調査年","地域","/項目","A4101_出生数【人】","A4200_死亡数【人】","A9101_婚姻件数【組】","A9201_離婚件数【組】"
"2010年度","兵庫県 神河町","","76","155","38","14"
"2010年度","兵庫県 太子町","","380","242","178","61"
"2010年度","兵庫県 上郡町","","91","244","72","22"
"2010年度","兵庫県 佐用町","","98","286","76","28"
"2010年度","兵庫県 香美町","","133","295","70","30"
"2010年度","兵庫県 新温泉町","","102","217","51","16"
"2009年度","兵庫県 神戸市 東灘区","","1,873","1,427","1,267","445"
"2009年度","兵庫県 神戸市 灘区","","1,133","1,140","872","250"
"2009年度","兵庫県 神戸市 兵庫区","","884","1,325","757","259"
"2009年度","兵庫県 神戸市 長田区","","749","1,294","620","259"
"2009年度","兵庫県 神戸市 須磨区","","1,330","1,465","861","317"
"2009年度","兵庫県 神戸市 垂水区","","1,929","1,945","1,155","433"
"2009年度","兵庫県 神戸市 北区","","1,780","1,767","1,013","445"
"2009年度","兵庫県 神戸市 中央区","","907","1,125","953","277"
"2009年度","兵庫県 神戸市 西区","","2,146","1,659","1,199","491"
"2009年度","兵庫県 姫路市","","4,904","4,668","2,966","1,118"
"2009年度","兵庫県 尼崎市","","4,131","4,128","3,172","1,074"
"2009年度","兵庫県 明石市","","2,760","2,430","1,683","619"
"2009年度","兵庫県 西宮市","","4,652","3,332","2,850","895"
"2009年度","兵庫県 洲本市","","353","587","240","82"
"2009年度","兵庫県 芦屋市","","805","758","482","177"
"2009年度","兵庫県 伊丹市","","1,893","1,393","1,155","423"
"2009年度","兵庫県 相生市","","216","377","147","58"
"2009年度","兵庫県 豊岡市","","717","993","431","141"
"2009年度","兵庫県 加古川市","","2,390","2,013","1,486","548"
"2009年度","兵庫県 赤穂市","","372","483","198","78"
"2009年度","兵庫県 西脇市","","318","450","193","58"
"2009年度","兵庫県 宝塚市","","1,966","1,645","1,032","386"
"2009年度","兵庫県 三木市","","531","735","324","124"
"2009年度","兵庫県 高砂市","","840","778","515","161"
"2009年度","兵庫県 川西市","","1,193","1,181","624","271"
"2009年度","兵庫県 小野市","","450","436","212","98"
"2009年度","兵庫県 三田市","","743","687","428","166"
"2009年度","兵庫県 加西市","","315","500","177","62"
"2009年度","兵庫県 篠山市","","341","553","187","67"
"2009年度","兵庫県 養父市","","172","376","99","31"
"2009年度","兵庫県 丹波市","","494","911","277","105"
"2009年度","兵庫県 南あわじ市","","379","653","225","95"
"2009年度","兵庫県 朝来市","","243","460","141","56"
"2009年度","兵庫県 淡路市","","331","647","161","67"
"2009年度","兵庫県 宍粟市","","312","525","172","74"
"2009年度","兵庫県 加東市","","398","354","199","61"
"2009年度","兵庫県 たつの市","","644","812","375","117"
"2009年度","兵庫県 猪名川町","","242","209","95","59"
"2009年度","兵庫県 多可町","","137","285","67","34"
"2009年度","兵庫県 稲美町","","219","291","131","50"
"2009年度","兵庫県 播磨町","","273","253","171","64"
"2009年度","兵庫県 市川町","","86","149","56","12"
"2009年度","兵庫県 福崎町","","154","190","84","28"
"2009年度","兵庫県 神河町","","92","182","35","21"
"2009年度","兵庫県 太子町","","356","244","202","74"
"2009年度","兵庫県 上郡町","","98","203","75","20"
"2009年度","兵庫県 佐用町","","98","314","74","25"
"2009年度","兵庫県 香美町","","126","309","83","20"
"2009年度","兵庫県 新温泉町","","117","223","59","13"
"2008年度","兵庫県 神戸市 東灘区","","1,876","1,450","1,253","415"
"2008年度","兵庫県 神戸市 灘区","","1,139","1,097","828","251"
"2008年度","兵庫県 神戸市 兵庫区","","826","1,364","762","274"
"2008年度","兵庫県 神戸市 長田区","","725","1,279","570","245"
"2008年度","兵庫県 神戸市 須磨区","","1,246","1,399","787","308"
"2008年度","兵庫県 神戸市 垂水区","","1,902","1,980","1,115","408"
"2008年度","兵庫県 神戸市 北区","","1,805","1,821","1,023","459"
"2008年度","兵庫県 神戸市 中央区","","953","1,090","938","302"
"2008年度","兵庫県 神戸市 西区","","2,203","1,655","1,212","481"
"2008年度","兵庫県 姫路市","","5,088","4,528","3,143","1,054"
"2008年度","兵庫県 尼崎市","","4,385","4,296","3,150","1,059"
"2008年度","兵庫県 明石市","","2,737","2,295","1,786","637"
"2008年度","兵庫県 西宮市","","4,827","3,326","2,922","880"
"2008年度","兵庫県 洲本市","","363","601","224","87"
"2008年度","兵庫県 芦屋市","","851","720","483","179"
"2008年度","兵庫県 伊丹市","","2,030","1,430","1,224","406"
